name,path,best_epoch,best_metric,model_type,model_name,loss_type,use_triplet,triplet_weight,freeze_vision,freeze_text,use_augmentation,epochs,val_accuracy_1_neg,val_eer_1_neg,val_eer_threshold_1_neg,val_auc_1_neg,val_mrr_1_neg,val_ndcg_1_neg,val_recall@1_1_neg,val_recall@5_1_neg,val_recall@10_1_neg,val_accuracy_2_neg,val_eer_2_neg,val_eer_threshold_2_neg,val_auc_2_neg,val_mrr_2_neg,val_ndcg_2_neg,val_recall@1_2_neg,val_recall@5_2_neg,val_recall@10_2_neg,val_accuracy_3_neg,val_eer_3_neg,val_eer_threshold_3_neg,val_auc_3_neg,val_mrr_3_neg,val_ndcg_3_neg,val_recall@1_3_neg,val_recall@5_3_neg,val_recall@10_3_neg,val_mean_pos_similarity,val_std_pos_similarity,val_mean_neg_similarity,val_std_neg_similarity,val_similarity_gap,val_median_pos_similarity,val_q1_pos_similarity,val_q3_pos_similarity,val_min_pos_similarity,val_max_pos_similarity,val_median_neg_similarity,val_q1_neg_similarity,val_q3_neg_similarity,val_min_neg_similarity,val_max_neg_similarity,val_similarity_gap_mean,val_similarity_gap_median,mean_pos_sim,mean_neg_sim,median_pos_sim,median_neg_sim,gap_mean,gap_median,std_pos_sim,std_neg_sim,finetuned,has_augmentation,has_triplet,architecture
siglip_sigmoid,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/siglip_sigmoid,23.0,{'accuracy_3_neg': 0.9026548672566371},siglip,google/siglip-base-patch16-224,sigmoid,False,0.2,False,False,True,30,0.9380530973451328,0.1415929203539823,0.27840083837509155,0.9371916359934217,0.9690265486725663,0.9771372413716833,0.9380530973451328,1.0,1.0,0.8938053097345132,0.1415929203539823,0.26937705278396606,0.9381705693476386,0.9424778761061947,0.9573306883375496,0.8938053097345132,1.0,1.0,0.8849557522123894,0.13274336283185842,0.26937705278396606,0.9393061320385309,0.9343657817109146,0.9511337574039386,0.8849557522123894,1.0,1.0,0.5420127016174175,0.12685823622878817,0.3141323686733639,0.21974422479503244,0.22788033294405363,0.5603114366531372,0.48181256651878357,0.6241014152765274,-0.025500735267996788,0.7995920181274414,0.3003384619951248,0.1406661830842495,0.5190994739532471,-0.2956565022468567,0.7995920181274414,0.22788033294405363,0.2599729746580124,0.5420127016174175,0.3141323686733639,0.5603114366531372,0.3003384619951248,0.22788033294405363,0.2599729746580124,0.12685823622878817,0.21974422479503244,True,True,False,SigLIP
tinyclip_combined_tw03_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw03_noaug,6.0,{'accuracy_3_neg': 0.911504424778761},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.3,False,False,False,20,0.9734513274336283,0.1415929203539823,0.13847462832927704,0.963270420549769,0.9867256637168141,0.9902016748735786,0.9734513274336283,1.0,1.0,0.9292035398230089,0.13716814159292035,0.13847513496875763,0.9611559245046597,0.9631268436578172,0.9727124626106214,0.9292035398230089,1.0,1.0,0.8761061946902655,0.07079646017699115,0.18780377507209778,0.9578667084344898,0.9351032448377582,0.9519571419721902,0.8761061946902655,1.0,1.0,0.4444848534052934,0.14686183332133687,0.15934755996496783,0.24953001654845816,0.28513729344032557,0.46557173132896423,0.336958646774292,0.5527292937040329,-0.0918387770652771,0.7333893179893494,0.08186416327953339,-0.04225947521626949,0.384479284286499,-0.3327341079711914,0.7333893179893494,0.28513729344032557,0.38370756804943085,0.4444848534052934,0.15934755996496783,0.46557173132896423,0.08186416327953339,0.28513729344032557,0.38370756804943085,0.14686183332133687,0.24953001654845816,True,False,True,TinyCLIP
clip_vit_b32_combined_tw02_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw02_noaug,1.0,{'accuracy_3_neg': 0.9292035398230089},clip,openai/clip-vit-base-patch32,infonce,True,0.2,False,False,False,20,0.9469026548672567,0.11504424778761062,0.17530445754528046,0.9599028898112616,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.911504424778761,0.10176991150442478,0.16323737800121307,0.9586498551178636,0.9528023598820058,0.9650215754740855,0.911504424778761,1.0,1.0,0.8849557522123894,0.11504424778761062,0.15232615172863007,0.957710079097815,0.9380530973451328,0.9539962867737417,0.8849557522123894,1.0,1.0,0.30364152607773015,0.11062701058179049,0.12927326910465306,0.16386526495298648,0.1743682569730771,0.30640625953674316,0.219498623162508,0.38400982320308685,-0.008755896240472794,0.5338931083679199,0.08963961154222488,0.0016172751784324646,0.25040626525878906,-0.1922234445810318,0.5338931083679199,0.1743682569730771,0.21676664799451828,0.30364152607773015,0.12927326910465306,0.30640625953674316,0.08963961154222488,0.1743682569730771,0.21676664799451828,0.11062701058179049,0.16386526495298648,True,False,True,CLIP-B/32
clip_vit_b32_infonce_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_infonce_noaug,1.0,{'accuracy_3_neg': 0.9203539823008849},clip,openai/clip-vit-base-patch32,infonce,False,0.2,False,False,False,20,0.9469026548672567,0.11504424778761062,0.17429713904857635,0.9611559245046597,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.911504424778761,0.10619469026548672,0.17245878279209137,0.9592372151303938,0.9528023598820058,0.9650215754740855,0.911504424778761,1.0,1.0,0.8849557522123894,0.10324483775811209,0.16240093111991882,0.9581538622183936,0.9380530973451328,0.9539962867737417,0.8849557522123894,1.0,1.0,0.3049480131490353,0.11019299776880018,0.13022722953075855,0.16413971368333996,0.17472078361827675,0.3052329123020172,0.22123340144753456,0.38235826790332794,-0.00980264414101839,0.533072292804718,0.08969354629516602,0.0029230290092527866,0.2527429163455963,-0.1915782243013382,0.533072292804718,0.17472078361827675,0.2155393660068512,0.3049480131490353,0.13022722953075855,0.3052329123020172,0.08969354629516602,0.17472078361827675,0.2155393660068512,0.11019299776880018,0.16413971368333996,True,False,False,CLIP-B/32
tinyclip_combined_tw04_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw04_noaug,6.0,{'accuracy_3_neg': 0.911504424778761},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.4,False,False,False,20,0.9734513274336283,0.08849557522123894,0.15274274349212646,0.9652282872582034,0.9867256637168141,0.9902016748735786,0.9734513274336283,1.0,1.0,0.9292035398230089,0.10176991150442478,0.15274304151535034,0.9623306445297204,0.9631268436578172,0.9727124626106214,0.9292035398230089,1.0,1.0,0.8761061946902655,0.12094395280235988,0.15290124714374542,0.9589109040123215,0.9351032448377582,0.9519571419721902,0.8761061946902655,1.0,1.0,0.4440782416150034,0.14583005771706276,0.15919605950082966,0.24931525569984572,0.28488218211417377,0.4621470868587494,0.33685845136642456,0.55064657330513,-0.06838707625865936,0.7326180338859558,0.08158150315284729,-0.04344162344932556,0.38405686616897583,-0.3367512822151184,0.7326180338859558,0.28488218211417377,0.3805655837059021,0.4440782416150034,0.15919605950082966,0.4621470868587494,0.08158150315284729,0.28488218211417377,0.3805655837059021,0.14583005771706276,0.24931525569984572,True,False,True,TinyCLIP
clip_vit_b16_frozen_eval,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b16_frozen_eval,,,clip,openai/clip-vit-base-patch16,cross_entropy,False,0.2,True,True,False,0,0.911504424778761,0.19469026548672566,0.22149185836315155,0.9321794972198293,0.9557522123893806,0.9673389162452617,0.911504424778761,1.0,1.0,0.8761061946902655,0.1902654867256637,0.22101281583309174,0.9290469104863341,0.9336283185840708,0.9507984715866021,0.8761061946902655,1.0,1.0,0.8672566371681416,0.1887905604719764,0.22101278603076935,0.929438483828021,0.9255162241887905,0.9446015406529908,0.8672566371681416,1.0,1.0,0.2791975386501328,0.04421371259776946,0.22336853837831128,0.052801888006101756,0.05582900027182153,,,,,,,,,,,,,,,,,,,,,False,False,False,CLIP-B/16
clip_vit_b32_combined_tw02,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw02,2.0,{'accuracy_3_neg': 0.9292035398230089},clip,openai/clip-vit-base-patch32,infonce,True,0.2,False,False,True,20,0.9734513274336283,0.08849557522123894,0.16124193370342255,0.9755658234787377,0.9867256637168141,0.9902016748735786,0.9734513274336283,1.0,1.0,0.9469026548672567,0.084070796460177,0.16027969121932983,0.9744694181220142,0.971976401179941,0.9792446793615689,0.9469026548672567,1.0,1.0,0.9203539823008849,0.0855457227138643,0.16124241054058075,0.9739473203330984,0.9587020648967551,0.9694463542351475,0.9203539823008849,1.0,1.0,0.3377724048318114,0.12345373213925424,0.12627002803366733,0.19242603881250345,0.2115023767981441,0.3356448709964752,0.24727284163236618,0.4314735606312752,-0.023037010803818703,0.6029983162879944,0.07229077070951462,-0.026142694521695375,0.2820380628108978,-0.23800872266292572,0.6029983162879944,0.2115023767981441,0.2633541002869606,0.3377724048318114,0.12627002803366733,0.3356448709964752,0.07229077070951462,0.2115023767981441,0.2633541002869606,0.12345373213925424,0.19242603881250345,True,True,True,CLIP-B/32
tinyclip_combined_tw03,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw03,5.0,{'accuracy_3_neg': 0.9380530973451328},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.3,False,False,True,20,0.9823008849557522,0.08849557522123894,0.15319058299064636,0.9796381862322814,0.9911504424778761,0.9934677832490524,0.9823008849557522,1.0,1.0,0.9469026548672567,0.08849557522123894,0.15274640917778015,0.976270655493774,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.911504424778761,0.10029498525073746,0.15846966207027435,0.9741039496697732,0.9528023598820058,0.9650215754740855,0.911504424778761,1.0,1.0,0.421829792436182,0.12869016082633164,0.14505432236198867,0.2405927694120315,0.27677547007419334,0.4389745444059372,0.3383832946419716,0.5145656168460846,-0.04809333011507988,0.6690076589584351,0.07305354252457619,-0.053442870266735554,0.3791932463645935,-0.3268429636955261,0.6690076589584351,0.27677547007419334,0.365921001881361,0.421829792436182,0.14505432236198867,0.4389745444059372,0.07305354252457619,0.27677547007419334,0.365921001881361,0.12869016082633164,0.2405927694120315,True,True,True,TinyCLIP
tinyclip_combined_tw02,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/tinyclip_combined_tw02,3.0,{'accuracy_3_neg': 0.9380530973451328},tinyclip,wkcn/TinyCLIP-ViT-40M-32-Text-19M-LAION400M,infonce,True,0.2,False,False,True,20,0.9911504424778761,0.07079646017699115,0.15300729870796204,0.9801080742423056,0.995575221238938,0.9967338916245261,0.9911504424778761,1.0,1.0,0.9646017699115044,0.0752212389380531,0.15300749242305756,0.9769754875088104,0.9823008849557522,0.9869355664981047,0.9646017699115044,1.0,1.0,0.9203539823008849,0.0855457227138643,0.1557559221982956,0.9748870963531469,0.9601769911504425,0.9706050246207355,0.9203539823008849,1.0,1.0,0.40257332046569244,0.12476312141707849,0.14468621829986636,0.22907847140052476,0.2578871021658261,0.4183329939842224,0.32218037545681,0.4981336295604706,-0.05280417203903198,0.6518911123275757,0.0764075517654419,-0.04437631368637085,0.37001168727874756,-0.3265472650527954,0.6518911123275757,0.2578871021658261,0.3419254422187805,0.40257332046569244,0.14468621829986636,0.4183329939842224,0.0764075517654419,0.2578871021658261,0.3419254422187805,0.12476312141707849,0.22907847140052476,True,True,True,TinyCLIP
clip_vit_b32_combined_tw05_noaug,/home/lucas/Documentos/PósGaduação/UFPR/Mestrado/Projeto/Experimentos/SigAlignGit/experiments/clip_vit_b32_combined_tw05_noaug,1.0,{'accuracy_3_neg': 0.9203539823008849},clip,openai/clip-vit-base-patch32,infonce,True,0.5,False,False,False,20,0.9469026548672567,0.12389380530973451,0.17390014231204987,0.9615474978463466,0.9734513274336283,0.980403349747157,0.9469026548672567,1.0,1.0,0.911504424778761,0.10176991150442478,0.16400866210460663,0.9593155297987312,0.9542772861356933,0.9661802458596735,0.911504424778761,1.0,1.0,0.8849557522123894,0.10914454277286136,0.15844093263149261,0.9581538622183935,0.9387905604719764,0.9546097685607029,0.8849557522123894,1.0,1.0,0.30453484823048965,0.11013515636125101,0.12998879793570745,0.16405883714899336,0.1745460502947822,0.3049267381429672,0.22076104953885078,0.38192880153656006,-0.009576620534062386,0.5329924821853638,0.0892438031733036,0.002627804409712553,0.2533000707626343,-0.19188283383846283,0.5329924821853638,0.1745460502947822,0.21568293496966362,0.30453484823048965,0.12998879793570745,0.3049267381429672,0.0892438031733036,0.1745460502947822,0.21568293496966362,0.11013515636125101,0.16405883714899336,True,False,True,CLIP-B/32
